Account,CY2023,CY2024,CY2025,dividends
Total Sales,414.56,395.57,387.06,46119
Cost of Goods Sold,160.52,153.17,149.87,26.08%
Op Income,26.70,25.48,24.93,Deloitte
profit_for_period,66.02,63.00,61.64,
Actifs courants,428.53,408.90,400.10,JPY
Short-Term Liabilities,251.88,240.34,235.17,INR
raw_materials_and_wip,169.87,162.09,158.60,36102
cash_and_cash_equivalents,93.05,88.79,86.88,USD
ta,902.73,861.38,842.85,
liabilities_total,520.91,497.04,486.35,66562
owners_equity,381.83,364.34,356.50,JPY
Receivables,165.61,158.02,154.62,KPMG
Trade Payables,44.83,42.78,41.86,
支払利息,6.09,5.81,5.69,PwC
