Account,2022-03-31,2022-06-30,2022-09-30,Free Cash Flow
Chiffre d'affaires,307305,367373,432285,97.83%
Production Costs,217559,260084,306040,JPY
Income from Operations,54761,65465,77032,46.71%
Net Income ($),36499,43633,51343,
total_current_assets,119978,143430,168774,
current_obligations,38553,46089,54233,
Inventories,36401,43516,51205,61286
total_assets_value,253363,302887,356405,93.63%
tl,67312,80469,94687,USD
total_equity,186051,222418,261718,
Créances clients,47693,57015,67090,INR
accounts_payable,4511,5392,6345,95455
interest_expenses,13777,16471,19381,JPY
