description,Q1 FY21,Q2 FY21,Q3 FY21,Q4 FY21,Gross Profit
Net Revenue,"393,531.2","378,298.1",377.2,"355,360.9K",USD
cost_of_sales,"224,717.3","216,018.7","215,377.4","202,921.0K",USD
Income from Operations,"95,874.3","92,163.1","91,889.5","86,575.1",
Profit After Tax,"60,496.4","58,154.7",58.0,"54,628.6",
Curr Assets,"137,125.8","131,817.8K","131,426.4K","123,825.4",35.45%
CL,"124,500.0","119,680.8","119,325.5","112,424.3",60.54%
Inventory,"33,330.5","32,040.3","31,945.2","30,097.7",PwC
Trésorerie,48.2,"46,314.8","46,177.3K","43,506.6",JPY
total_assets_value,"360,178.3",346.2,"345,208.3","325,243.1",58.56%
Total Liabilities,"215,088.8K","206,763.0","206,149.1","194,226.4",PwC
book_value,"145,089.5K","139,473.3","139,059.2","131,016.7",GBP
Forderungen,"52,469.8","50,438.8","50,289.0","47,380.5",8765
Net Payables,"10,850.7","10,430.7","10,399.7K","9,798.2",97315
Zinsaufwendungen,"7,892.8","7,587.3",7.6,"7,127.3",EUR
