line_item,FY22,FY23,FY24,Tax Rate,currency
Cost of Goods Sold,"£46,720","£48,499","£49,776",,
営業利益,"£14,611","£15,167","£15,566",JPY,47.14%
net_profit,"£4,419","£4,587","£4,708",EUR,48817
CA,"£29,756","£30,888","£31,701",81450,89320
CL,"£16,717","£17,353,164","£17,810",INR,USD
Lagerbestand,"£8,715","£9,046,619",£9,75.60%,
Kassenbestand,"£7,692","£7,985","£8,195",38.57%,
total_assets_value,"£55,539,902","£57,654","£59,172",91001,50372
liabilities_total,"£33,991","£35,285","£36,214",EY,EUR
Net Assets,"£21,549",£22,"£22,958,106",,KPMG
Receivables,"£9,171","£9,520","£9,771",6468,PwC
IE,£3,"£2,699","£2,770,537",USD,81731
