metric,Q1 FY21,Q2 FY21,effective_tax_rate,region,gross_profit
REVENUE,156,168,84.36%,77.83%,17.61%
cost_of_sales,93,100,EY,53243,JPY
営業利益,30,32,PwC,,JPY
ni,22,24,EY,EY,KPMG
short_term_assets,45,N/A,EUR,EUR,
Current Liabilities,18,19,22.42%,67.94%,73.07%
Inventory,16,17,81180,88680,
C&CE,6,6,,36835,69009
Assets Total,98,105,,31.93%,
Liabilities Total,37,40,INR,Deloitte,EUR
total_equity,60,65,68.23%,43.36%,Deloitte
ar,13,14,EUR,KPMG,USD
accounts_payable,4,4,EUR,73546,
Charges d'intérêts,4,5,EUR,KPMG,GBP
