description,Q1 FY23,Q2 FY23,Q3 FY23
Income from Operations,"£304,752,251","£349,791,656","£402,155,682"
op_income,"£70,524,123","£80,946,900","£93,064,700"
Profit After Tax,"£12,758,998","£14,644,654","£16,836,967"
short_term_assets,"£137,214,613","£157,493,592","£181,070,479"
Current Liabilities,"£119,274,651","£136,902,279","£157,396,635"
Inventory,"£51,174,598","£58,737,704","£67,530,774"
cash_and_cash_equivalents,"£28,881,559","£33,149,971","£38,112,542"
Gesamtvermögen,"£345,886,576","£397,005,233","£456,437,160"
total_obligations,"£214,447,617","£246,140,880","£282,988,321"
Shareholders' Equity,"£131,438,958","£150,864,353","£173,448,839"
accounts_receivable,"£57,158,455","£65,605,916","£75,427,162"
買掛金,"£18,963,774","£21,766,434","£25,024,883"
borrowing_costs,"£4,943,775","£5,674,416","£6,523,880"
