metric,FY21,FY22,FY23,operating_cash_flow,Market Cap,product_line
REV,"$440,406","$490,320","$546,731",INR,74.07%,
cost_of_sales,"$153,842","$171,278","$190,984",30532,,Deloitte
当期純利益,"$15,159","$16,876,762","$18,818",EY,29270,
流動資産,"$138,474","$154,168","$171,904",,,70375
CurrLiab,"$103,295","$115,002","$128,232,505",,USD,EY
Inventories,$27,"$30,311","$33,798,604",,18.62%,41.53%
cash_equivalents,"$18,582","$20,688","$23,068",59696,12052,70.31%
total_assets_value,"$374,204","$416,615","$464,546",56.42%,USD,72.56%
Net Receivables,"$70,223,515","$78,182",$87,1700,,86538
borrowing_costs,"$9,063",$10,"$11,251",81.37%,6.40%,JPY
