Description,2022,2021,2023,Free Cash Flow
Income from Operations,79821.33,70059.73,91119.86,PwC
Coût des ventes,42957.37,37703.97,49037.89,
ebit,14774.86,12968.00,16866.21,INR
Profit for Period,3662.92,3214.97,4181.40,
total_current_assets,68283.85,59933.20,77949.27,58.87%
Lagerbestand,12905.13,11326.92,14731.83,71920
cash_balance,22163.51,19453.06,25300.70,PwC
Gesamtvermögen,167931.84,147394.92,191702.22,78.16%
Total Debt,96442.53,84648.27,110093.75,86949
Stockholders' Equity,71489.31,62746.66,81608.46,77716
receivables,25447.48,22335.43,29049.51,
Accts Payable,8431.05,7399.99,9624.45,JPY
Net Interest Expense,2189.10,1921.39,2498.96,64.21%
