description,FY18,FY19,FY20,FY21,operating_cash_flow
Turnover,"440,618","535,206","600,620","734,924",83.65%
cost_of_sales,"151,367","183,862","206,334",,71.69%
Income from Operations,"78,089","94,853","106,446","130,248",60.23%
CA,"245,488","298,187","334,632","409,459",
Kurzfristige Verbindlichkeiten,"191,998","233,215","261,719","320,242",
cash,"44,776","54,389","61,036","74,684",EY
Total Balance Sheet Assets,"727,794","884,031","992,079","1,213,917",
total_obligations,"414,397",—,"564,878",#N/A,EY
book_value,"313,397","380,675","427,201","522,728",EUR
Accts Payable,#N/A,"43,407","48,712","59,604",JPY
finance_costs,"7,933","9,636",—,"13,232",80813
