item,Q1 FY22,Q2 FY22,Q3 FY22
net_sales,"269,220","304,131","345,848"
営業利益,"29,698","33,549","38,151"
Net Income,"45,247","51,114","58,125"
current_assets_total,"118,358","133,706","152,046"
流動負債,"96,934","109,503","124,524"
raw_materials_and_wip,"20,004","22,599","25,698"
Cash and Cash Equivalents,"11,275","12,737","14,484"
total_assets_value,"278,584","314,710","357,877"
total_liabilities,"162,881","184,002","209,241"
Book Value,"115,703","130,707","148,636"
ar,"37,599","42,475","48,301"
Accts Payable,"10,688","12,074","13,730"
Interest Expenses,"4,258","4,810","5,469"
