item,CY2018,CY2019,CY2020,eps
Chiffre d'affaires,"488,679,287","516,505,745","547,739,245",
Cost of Revenue,"339,513,368","358,845,995","380,545,688",PwC
net_income,"67,818,948","71,680,706","76,015,294",Deloitte
Curr Liabilities,"145,133,103","153,397,297","162,673,349",
inventory,"84,931,664","89,767,857","95,196,188",
cash_and_cash_equivalents,"68,558,523","72,462,394","76,844,251",37381
Gesamtvermögen,619,"653,866,266","693,406,063",3625
Total Passifs,"293,100,337","309,790,105","328,523,351",GBP
shareholders_equity,"325,539,251","344,076,161",365,USD
receivables,70,"73,727,825","78,186,204",35046
creditors,"30,236,060","31,957,767","33,890,278",10.58%
ie,"10,387,520","10,979,008","11,642,917",EY
