metric,CY2021,CY2022,Employee Count
REV,318940576.07,355336543.43,
Direct Costs,99398382.70,110741248.94,72.21%
Operating Result,20751625.00,23119700.82,PwC
earnings,50249133.92,55983323.84,INR
short_term_assets,166960590.02,186013331.01,24.14%
流動負債,157231627.41,175174145.89,PwC
raw_materials_and_wip,43119379.34,N/A,
Kassenbestand,49548635.48,55202887.88,94796
Assets Total,455816834.84,507832463.74,8433
TL,289272604.60,322283005.49,18523
Book Value,166544230.24,185549458.24,
trade_receivables,67835793.24,75576888.29,Deloitte
IE,2088041.76,2326319.06,INR
