Metric,CY2018,CY2019,CY2020,capex,country
revenue,"$161,596","$156,153","$152,572",70555,80.64%
direct_costs,"$91,177","$88,106","$86,086",,83.27%
op_profit,"$18,558","$17,933","$17,522",83.39%,96986
流動資産,"$35,751","$34,546","$33,754",GBP,JPY
Current Liabilities,"$29,088","$28,108","$27,463",26.61%,Deloitte
Inventories,"$8,333","$8,052","$7,868",,Deloitte
cash_equivalents,"$9,768","$9,439","$9,223",,10736
total_assets_value,"$103,665","$100,173","$97,876",EY,78915
Gesamtverbindlichkeiten,"$60,979","$58,925","$57,574",60746,73.83%
Eigenkapital,"$42,685","$41,247","$40,302",81.00%,EY
Debtors,"$17,650","$17,055","$16,664",70.28%,
Accounts Payable,"$5,298","$5,120","$5,002",,74174
Interest Paid,"$4,236","$4,093","$4,000",,
