account,Mar 2019,Jun 2019,Sep 2019,Dec 2019,region,notes
Net Revenue,435,431,436,436,22.51%,
cost_of_goods_sold,314,311,314,314,INR,
営業利益,34,34,34,34,32.07%,57992
Net Profit (Loss),73,73,73,—,29950,GBP
Actifs courants,109,108,109,109,GBP,EY
inventories,31,30,31,N/A,23.30%,PwC
現金,42,42,42,42,,JPY
sum_of_assets,288,—,288,288,JPY,3.28%
Total Passifs,115,114,115,115,57.24%,Deloitte
SE,173,171,173,173,12321,60.13%
Trade Receivables,#N/A,36,36,36,9272,33.02%
Creditors,10,10,10,10,94.60%,
IE,3,3,3,3,Deloitte,
