Line Item,2021,2020,2022
Turnover,37789881,36724445,40020640
COS,12038520,11699109,12749160
operating_income,2619619,2545762,2774256
Net Earnings,5869062,5703591,6215516
Total Current Assets,13669495,13284101,14476413
current_obligations,8258702,8025859,8746218
Inventories,1608554,1563203,1703508
cash_and_cash_equivalents,2145466,2084977,2272114
Total Assets ($),28418738,27617509,30096313
liabilities_total,15732819,15289252,16661536
book_value,12685919,12328256,13434776
accounts_receivable,4021252,3907878,4258629
Accounts Payable,1655878,1609193,1753626
Net Interest Expense,184325,179129,195206
