metric,2021,2022,2023,country
Net Revenue,240,261,271,33430
Herstellungskosten,"144,287,498",157,163,70.19%
income_from_operations,46,"50,411",52,
net_earnings,14,16,16,USD
Umlaufvermögen,62,67,69,40.00%
Curr Liabilities,33,"35,704,837",37,52.45%
Merchandise Inventory,"25,616,700",28,"28,857,249",93.95%
Trésorerie,"12,076,204",13,14,
Total Balance Sheet Assets,"142,911,838","155,258,033",161,7.30%
total_liabilities,69,75,"77,303,818",34975
Book Value,"74,288,918",81,84,INR
Net Receivables,24,26,27,EY
creditors,5,"5,214",5,13230
Charges d'intérêts,4,4,4,EY
