Item,2018,2019,2020,Region
net_revenue,212841.88,218173.61,#N/A,
COGS ($),115785.14,#N/A,119190.14,92.16%
Operating Income,N/A,30062.58,30190.38,55507
net_profit,17687.21,18130.27,18207.35,INR
current assets,96126.22,98534.19,98953.09,KPMG
CL,41580.30,42621.89,,80778
raw_materials_and_wip,N/A,39847.32,#N/A,20.36%
sum_of_assets,201529.59,206577.94,—,EUR
total_liabilities,78880.98,80856.96,81200.71,97.96%
Eigenkapital,122648.61,125720.98,126255.45,93058
Forderungen,28712.20,29431.44,29556.56,GBP
AP,7689.11,7881.72,7915.23,
