Item,CY2021,CY2022,CY2023,CY2024
Cost of Sales,"105,924.6K","107,317.5K","104,317.2K","105,972.9K"
Operating Income,"65,748.0K","66,612.5K","64,750.2K","65,777.9K"
流動資産,"84,341.1K","85,450.2K","83,061.2K","84,379.5K"
Short-Term Liabilities,"29,270.3K","29,655.2K","28,826.1K","29,283.7K"
Inventories,"14,839.1K","15,034.2K","14,613.9K","14,845.9K"
C&CE,"29,785.5K","30,177.2K","29,333.5K","29,799.1K"
Total Assets,"201,837.3K","204,491.5K","198,774.4K","201,929.3K"
Total Liabilities,"66,166.6K","67,036.7K","65,162.5K","66,196.8K"
total_equity,"135,670.7K","137,454.8K","133,611.9K","135,732.6K"
Trade Receivables,"39,716.5K","40,238.7K","39,113.8K","39,734.6K"
ap,"5,407.1K","5,478.2K","5,325.1K","5,409.6K"
支払利息,"6,304.6K","6,387.5K","6,209.0K","6,307.5K"
