Metric,Period 1,Period 2,Period 3,Period 4,Period 5,Amortization
Umsatz,463140.73,504.79,537813558.47,565078.23,589084.03,19.42%
Op Income,47211.43,51457.42,54823.39,57602.68,60049.78,92966
NI,68425.15,74579.02,79457.44,83485.57,87032.22,67400
Short-Term Assets,447840.65,488.12,520046.63,546410.60,569.62,KPMG
流動負債,149725826.72,163191.52,173866.33,182680.56,190441236.68,
Merchandise Inventory,51106.14,55702.41,59346.06,62354.63,65.00,91.95%
C&CE,107936.21,117643.53,125338.92,131693.03,137287.64,5.89%
TA,834299836.80,909333.14,968815.17,1017929.65,1061173.59,PwC
Total Liabilities ($),344.94,375958.65,400551163.36,420857.27,438736.23,29.22%
純資産,489363.28,533374.49,568264.01,597072.38,622437.36,17.68%
Accounts Payable,30706.27,33467.86,35657.08,37464.74,39056.32,18.40%
finance_costs,10146.10,11058.60,11781.97,12379.26,12905.16,64103
