Item,FY21,FY22,FY23,FY24,FY25,Dividends,amortization
Net Revenue,"391,924","448,650","522,537","608,407","705,082",5.86%,INR
Herstellungskosten,"241,770","276,763","322,342","375,313","434,950",GBP,33843
Operating Income,"64,360","73,676","85,809","99,911","115,786",,12.09%
NI,"14,027","16,058","18,702","21,775","25,236",KPMG,EUR
Current Assets,"183,563","210,131","244,738","284,956","330,235",EUR,EUR
CL,"114,908","131,539","153,202","178,378","206,722",,
INV,"43,781","50,118","58,372","67,964","78,764",,4372
Kassenbestand,"20,675","23,668","27,565","32,095","37,195",,75392
Total Assets,"499,917","572,274","666,520","776,051","899,365",,
tl,"215,929","247,182","287,889","335,199","388,462",EUR,Deloitte
Equity,"283,989","325,092","378,631","440,852","510,903",96149,EY
trade_receivables,"79,169","90,627","105,553","122,898","142,427",,
買掛金,"21,965","25,145","29,286","34,098","39,516",EUR,
支払利息,"4,939","5,653","6,585","7,667","8,885",Deloitte,
