Account,2023,2024,2025,2026,tax_rate,country
top_line,"€237,001,032","€242,137,016","€243,522,477","€243,060,739",12800,
Herstellungskosten,"€166,979,571","€170,598,139","€171,574,268","€171,248,950",Deloitte,68144
profit_for_period,"€36,753,832","€37,550,314","€37,765,170","€37,693,564",,11.40%
total_current_assets,"€186,829,372","€190,878,099","€191,970,267","€191,606,276",89.45%,48.86%
CurrLiab,"€112,312,047","€114,745,930","€115,402,484","€115,183,672",16638,58349
Merchandise Inventory,"€33,323,185","€34,045,323","€34,240,124","€34,175,202",GBP,
cash_equivalents,"€45,208,853",—,"€46,452,843",,,83.09%
Total Balance Sheet Assets,"€546,710,077","€558,557,679","€561,753,638","€560,688,510",Deloitte,13.92%
total_debt,,"€269,679,121","€271,222,172","€270,707,914",,
Total SE,"€282,751,137","€288,878,559","€290,531,466","€289,980,596",,54.25%
Net Receivables,"€77,516,738","€79,196,581","€79,649,729","€79,498,707",32.89%,EY
Accts Payable,"€21,735,639","€22,206,666","€22,333,729","€22,291,382",GBP,
Net Interest Expense,"€4,669,709","€4,770,905","€4,798,203","€4,789,105",EUR,EUR
