Metric,CY2022,CY2023,CY2024,CY2025,product_line,Notes
Revenue,"$359,159","$363,912","$358,376","$363,955",,KPMG
売上原価,"$196,273","$198,870","$195,845","$198,894",8.60%,Deloitte
income_from_operations,"$59,468","$60,255","$59,338","$60,262",4.83%,
profit_for_period,"$12,116","$12,276","$12,089","$12,278",KPMG,EUR
total_current_assets,"$99,948","$101,270","$99,730","$101,282",88.18%,GBP
Curr Liabilities,"$56,092","$56,834","$55,970","$56,841",60.24%,
Stock,"$29,496","$29,887","$29,432","$29,890",EY,USD
cash_equivalents,"$13,548","$13,727","$13,518","$13,729",,
total_assets,"$242,726","$245,938","$242,197","$245,968",JPY,GBP
Liabilities Total,"$134,601","$136,382","$134,308","$136,399",,92.56%
Total SE,"$108,125","$109,556","$107,889","$109,569",USD,
ar,"$22,591","$22,890","$22,542","$22,893",,60.27%
creditors,"$8,729","$8,844","$8,710","$8,845",22133,80699
Interest Paid,"$6,111","$6,192","$6,098","$6,193",,INR
