Line Item,Q1 FY21,Q2 FY21,Q3 FY21,Q4 FY21,employee_count
Revs,£222,"£235,894,884","£256,776",£266,38.64%
Herstellungskosten,£94,£100,£109,"£112,796",KPMG
EBIT ($),£18,£19,£21,£21,USD
当期純利益,"£25,132",£27,"£29,093",£30,
Current Assets,£45,£48,£52,£54,93426
short_term_liabilities,£28,£30,£33,£34,
Merchandise Inventory,£11,£12,£13,£13,57101
cash,£12,£13,"£14,403",£15,USD
Assets Total,"£149,286",£159,£173,£179,
Gesamtverbindlichkeiten,£57,£61,"£66,055,409","£68,413,044",EY
Equity,£92,£98,£107,£111,96134
売掛金,"£13,733","£14,604,335",£16,£16,PwC
Payables,"£4,792",£5,£6,"£5,746",JPY
Finance Costs,£2,£3,£3,£3,Deloitte
