Account,Q1 FY21,Q2 FY21,Auditor,segment
net_revenue,"$305,967,352","$345,039,379",60683,PwC
売上原価,"$91,940,299","$103,681,073",9322,KPMG
op_income,"$51,988,025","$58,626,895",EY,
current_assets_total,"$67,675,725","$76,317,914",82579,84.01%
CL,"$44,896,377","$50,629,644",41.46%,63354
Inventory,"$15,530,349","$17,513,575",INR,EY
cash,"$8,876,506","$10,010,036",91792,99888
Assets Total,"$177,507,734","$200,175,469",JPY,GBP
Gesamtverbindlichkeiten,"$81,839,125","$92,289,980",70.88%,60.53%
Capitaux propres,"$95,668,609","$107,885,489",84.39%,
Debtors,"$26,327,368","$29,689,373",47.74%,EUR
Payables,"$6,363,244","$7,175,831",,63283
Zinsaufwendungen,"$3,822,045","$4,310,120",23.03%,USD
