Line Item,Mar 2023,Jun 2023,Sep 2023
Income from Operations,462139625.94,505568124.93,548054769.38
COS,323514441.81,353915960.79,383658147.55
Operating Earnings,35518640.63,38856422.46,42121816.24
Profit for Period,65842849.29,72030278.27,78083517.53
Total Current Liabilities,84707014.64,92667159.78,100454669.47
inventories,60618701.79,66315203.63,71888162.73
Kassenbestand,39418829.76,43123122.82,46747079.11
Gesamtvermögen,540916722.90,591748116.77,641477106.02
Total Debt,202841966.87,221903570.02,240551775.12
Capitaux propres,338074756.03,369844546.75,400925330.90
Trade Payables,10554590.87,11546434.05,12516766.67
Interest Expenses,5976832.24,6538491.18,7087969.16
