Item,FY2020,FY2021,FY2022,FY2023,amortization,EPS,eps
Total Revenue,"£22,278","£23,912","£25,017","£26,656",EUR,,EUR
COS,"£7,966","£8,551","£8,946","£9,532",55415,89.79%,2.40%
op_profit,"£5,185","£5,565","£5,822","£6,203",PwC,PwC,
net_earnings,£824,£884,£925,£986,JPY,,EUR
Actifs courants,"£10,796","£11,587","£12,123","£12,917",,16644,GBP
流動負債,"£4,372","£4,693","£4,910","£5,231",43.74%,81.36%,USD
Inventaire,"£3,092","£3,319","£3,472","£3,700",,,JPY
Cash and Cash Equivalents,"£3,330","£3,574","£3,739","£3,984",10.81%,,EY
Gesamtvermögen,"£24,011","£25,771","£26,963","£28,729",INR,17941,
tl,"£7,316","£7,852","£8,215","£8,753",95.01%,Deloitte,64.32%
Total SE,"£16,695","£17,919","£18,748","£19,976",USD,88.48%,27078
Receivables,"£2,377","£2,551","£2,669","£2,844",83560,GBP,54.04%
Interest Expenses,"£1,192","£1,280","£1,339","£1,426",9327,KPMG,58.33%
