Line Item,CY2019,CY2020,CY2021,eps,fcf,Capital Expenditure
total_revenue,"€51,406","€56,438","€61,876",GBP,PwC,66.53%
Operating Earnings,"€11,611","€12,747","€13,975",Deloitte,5551,
NI,"€2,012","€2,209","€2,422",,Deloitte,PwC
current_obligations,"€8,870","€9,739","€10,677",49522,JPY,
Inventaire,"€2,802","€3,077","€3,373",,JPY,USD
Cash Equivalents,"€1,803","€1,979","€2,170",KPMG,GBP,KPMG
Total Actifs,"€43,565","€47,830","€52,438",88.45%,65016,50102
total_debt,"€19,231","€21,113","€23,148",Deloitte,37.43%,EY
Capitaux propres,"€24,334","€26,716","€29,290",EUR,PwC,GBP
accounts_receivable,"€3,494","€3,836","€4,206",KPMG,16993,16.57%
interest_expense,€921,"€1,012","€1,109",EUR,70388,
