Description,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Free Cash Flow
Total Revenue,N/A,110902090,115685934,121136374,71812
COS,54626706,57314034,59786317,62603096,37.30%
income_from_operations,,6336839,6610183,6921616,
Profit After Tax,#N/A,11292380,11779485,12334465,
CA,58844326,61739137,64402301,67436558,45.51%
current_obligations,44013146,46178347,48170284,50439784,KPMG
Inventories,20573050,21585128,22516219,23577051,INR
Cash,9014465,9457926,9865901,10330724,INR
ta,190122262,199475213,208079725,217883217,22.26%
TL,92819417,97385612,101586413,106372567,INR
equity,97302845,102089601,106493311,111510649,39463
trade_receivables,17117271,17959345,18734034,19616672,43.31%
AP,8863265,9299288,9700420,10157447,76.39%
Interest Expense,509244,534296,557344,583602,63890
