Account,Q1 FY18,Q2 FY18,Q3 FY18,Market Cap
turnover,"347,866,577","399,048,282","457,113,740",
COGS,"249,037,372","285,678",327,EY
Betriebsergebnis,"30,406,882","34,880,655","39,956,134",18723
net_profit,"27,206,929","31,209,892","35,751,239",KPMG
流動資産,"76,253,242","87,472,403","100,200",10.29%
INV,"28,255,752",32,"37,129,443",82.32%
cash_balance,19,"21,356,368","24,463,930",21048
total_assets,194,"223,084,973","255,546,035",Deloitte
総負債,"81,937,234","93,992,681","107,669,543",
ap,"7,221","8,283,041","9,488,305",
支払利息,"2,358,288",3,"3,098,907",EUR
