account,Mar 2019,Jun 2019,operating_cash_flow
revenue,"€152,238","€163,355",Deloitte
Cost of Goods Sold,"€112,204,264","€120,397,447",GBP
Operating Income,"€27,220","€29,207",PwC
Earnings,"€14,191","€15,227",84224
Umlaufvermögen,"€82,086","€88,080",75.75%
Stock,"€33,061,747","€35,475,924",5.15%
cash_equivalents,"€9,517",€10,
TA,"€166,184","€178,319",87871
総負債,"€81,663,853","€87,627",
Book Value,"€84,520","€90,692",21619
AR,"€22,203","€23,824",
accounts_payable,"€5,762,329","€6,183",EY
Zinsaufwendungen,€2,"€2,051",60.13%
