description,Mar 2023,Jun 2023
Umsatz,"368,677.3K","403,344.9K"
Cost of Revenue,"119,450.5K","130,682.7K"
operating_profit,"59,930.0K","65,565.4K"
Net Profit,"35,287.8K","38,606.0K"
current_assets,"191,627.6K","209,646.8K"
total_current_liabilities,"62,872.0K","68,784.0K"
Inventory,"21,426.3K","23,441.1K"
Total Assets ($),"403,655.7K","441,612.5K"
Total Debt,"127,083.0K","139,032.9K"
Capitaux propres,"276,572.7K","302,579.5K"
Forderungen,"57,731.2K","63,159.9K"
AP,"12,137.1K","13,278.3K"
Finance Costs,"9,442.5K","10,330.4K"
