item,Mar 2018,Jun 2018,Sep 2018,Notes,fiscal_year_end
REV,"$458,302,650","$492,309,097","$527,795,582",74.40%,33.35%
Operating Earnings,"$102,853,461","$110,485,276","$118,449,244",,50417
net_income,"$19,119,709","$20,538,408","$22,018,851",Deloitte,
Short-Term Assets,"$285,347,177","$306,520,181","$328,614,682",74573,21516
Short-Term Liabilities,"$75,456,908","$81,055,875","$86,898,522",28817,EUR
Stock,"$74,963,892","$80,526,277","$86,330,749",,
cash_balance,"$75,217,004","$80,798,170","$86,622,240",JPY,77937
TA,"$564,738,001","$606,642,041","$650,369,842",EUR,
owners_equity,"$402,914,176","$432,810,751","$464,008,494",79.56%,Deloitte
trade_receivables,"$47,925,321","$51,481,421","$55,192,290",JPY,INR
Trade Payables,"$19,177,514","$20,600,502","$22,085,422",,KPMG
interest_expense,"$15,296,239","$16,431,233","$17,615,625",PwC,EUR
