Metric,Mar 2020,Jun 2020
Income from Operations,209017544.90,203271284.41
Herstellungskosten,92671055.14,90123364.59
income_from_operations,47031988.48,45738996.27
Net Income ($),24351299.19,23681839.08
Actifs courants,75042708.05,72979651.82
current_obligations,38942254.27,37871663.10
inventory,18214227.71,17713486.50
Cash and Cash Equivalents,15797450.82,15363151.07
ta,147009954.14,142968391.54
Gesamtverbindlichkeiten,68923724.72,67028890.12
stockholders_equity,78086229.42,75939501.43
Créances clients,15957842.93,15519133.72
trade_payables,5126398.41,4985464.68
Charges d'intérêts,7221829.43,7023288.62
