Line Item,2018-03-31,2018-06-30,fcf,auditor
Cost of Sales,"£65,242","£74,888",57.03%,23.95%
operating_income,"£6,414","£7,362",27503,86825
Jahresüberschuss,"£3,553","£4,078",GBP,Deloitte
Total Current Liabilities,"£18,337","£21,049",,23050
Cash (end of period),"£5,766","£6,618",20748,
TA,"£91,523","£105,055",,
Total Liabilities,"£40,992","£47,053",56.59%,INR
total_equity,"£50,531","£58,002",Deloitte,38836
AR,"£13,787","£15,825",12.30%,
ap,"£3,115","£3,575",51821,18.62%
Interest Expenses,"£1,449","£1,664",6752,
