Line Item,FY21,FY22,FY23,EPS
net_sales,"£131,928,905","£148,556,965","£169,767,279",78.17%
cogs,"£79,231,997","£89,218,242","£101,956,433",64.27%
Operating Income,"£10,189,660","£11,473,944","£13,112,144",
net_income,"£7,486,505",N/A,"£9,633,700",EY
CurrAssets,"£67,702,279","£76,235,341","£87,119,890",59.72%
current_liabilities,"£35,954,767","£40,486,435","£46,266,911",Deloitte
棚卸資産,"£10,671,914","£12,016,981","£13,732,713",35412
cash,"£14,527,824","£16,358,883","£18,694,533",KPMG
sum_of_assets,N/A,"£148,734,109","£169,969,715",80605
総負債,"£68,489,443","£77,121,718","£88,132,820",USD
Accounts Receivable,"£23,292,666","£26,228,428","£29,973,209",
interest_expenses,"£2,641,709","£2,974,665","£3,399,374",18.39%
