line_item,2021-03-31,2021-06-30
Total Revenue,"€394,492,905","€441,345,837"
COGS,"€275,984,640","€308,762,643"
EBIT,"€29,816,327","€33,357,538"
earnings,"€47,173,264","€52,775,914"
Actifs courants,"€84,088,071","€94,075,000"
Current Liabilities,"€58,334,471","€65,262,710"
棚卸資産,"€24,822,331","€27,770,417"
Cash and Cash Equivalents,"€16,074,366","€17,983,478"
Total Actifs,"€232,868,722","€260,525,956"
Total Passifs,"€97,909,428","€109,537,885"
Total SE,"€134,959,294","€150,988,070"
trade_receivables,"€31,826,811","€35,606,802"
Accounts Payable,"€9,421,539","€10,540,512"
IE,"€6,720,821","€7,519,036"
