line_item,Period 1,Period 2,Period 3
REV,"€379,628,747","€428,698,872","€476,174,625"
cogs,"€215,144,889","€242,954,128","€269,859,798"
operating_earnings,"€31,934,422","€36,062,208","€40,055,875"
pat,"€52,556,983","€59,350,404","€65,923,095"
Short-Term Assets,"€99,786,001","€112,684,159","€125,163,234"
Short-Term Liabilities,"€44,484,593","€50,234,592","€55,797,762"
merchandise_inventory,"€27,811,516","€31,406,382","€34,884,445"
Cash (end of period),"€16,983,921","€19,179,232","€21,303,214"
sum_of_assets,"€220,940,441","€249,498,803","€277,129,255"
総負債,"€106,309,309","€120,050,659","€133,345,528"
Shareholders' Equity,"€114,631,132","€129,448,145","€143,783,728"
AR,"€19,623,971","€22,160,530","€24,614,672"
Dettes fournisseurs,"€8,090,495","€9,136,258","€10,148,042"
Interest Expense,"€2,248,058","€2,538,638","€2,819,777"
