metric,Mar 2019,Jun 2019,Sep 2019,ebitda
Net Sales,"328,546","344,297","352,099",
Production Costs,"244,216","255,925","261,724",USD
operating_income,"38,443","40,286","41,199",59326
Profit After Tax,"58,590","61,399","62,790",65.17%
current_assets_total,"90,526","94,867","97,016",PwC
current_liabilities,"50,155","52,559","53,750",
Inv,"21,253","22,272","22,777",59345
Kassenbestand,"21,427","22,454","22,963",
sum_of_assets,"191,921","201,122","205,680",
total_liabilities,"120,986","126,787","129,660",90.70%
Stockholders' Equity,"70,935","74,335","76,020",Deloitte
Accts Payable,"5,545","5,810","5,942",
IE,"3,904","4,091","4,184",GBP
