Account,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021
Net Sales,"$117,416,619","$123,043,027","$133,519,425","$144,312,147","$155,146,035"
Cost of Goods Sold,"$51,361,674","$53,822,840","$58,405,541","$63,126,613","$67,865,692"
Operating Result,"$13,933,244","$14,600,902","$15,844,084","$17,124,802","$18,410,406"
NI,"$14,229,795","$14,911,663","$16,181,304","$17,489,281","$18,802,247"
Current Assets,"$42,271,732","$44,297,322","$48,068,981","$51,954,522","$55,854,883"
INV,"$15,448,429","$16,188,691","$17,567,064","$18,987,056","$20,412,463"
Cash Balance,"$10,194,506","$10,683,010","$11,592,606","$12,529,666","$13,470,301"
総資産,"$86,271,524","$90,405,510","$98,103,014","$106,032,936","$113,993,103"
Equity,"$46,536,482","$48,766,432","$52,918,610","$57,196,159","$61,490,023"
accounts_receivable,"$16,628,796","$17,425,620","$18,909,310","$20,437,799","$21,972,117"
Payables,"$1,927,024","$2,019,364","$2,191,301","$2,368,430","$2,546,234"
IE,"$1,296,134","$1,358,242","$1,473,889","$1,593,027","$1,712,620"
