line_item,FY2019,FY2020
Income from Operations,"145,360,949","166,325,042"
Operating Earnings,"25,202,930","28,837,721"
Total Current Assets,"54,935,014","62,857,794"
Current Liabilities,"32,110,109","36,741,059"
raw_materials_and_wip,"8,209,665","9,393,671"
cash_on_hand,"16,397,564","18,762,436"
sum_of_assets,"114,642,749","131,176,634"
total_debt,"55,383,861","63,371,373"
se,"59,258,888","67,805,261"
売掛金,"22,420,847","25,654,402"
Accts Payable,"5,274,141","6,034,783"
Interest Expense,"2,021,745","2,313,323"
