metric,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,Product Line,Notes
Sales,"£445,767","£461,575","£493,634","£501,744","£505,131,968",7.85%,
Herstellungskosten,"£291,378","£301,711","£322,667","£327,968","£330,182,379",USD,72.46%
ebit,"£59,014,274","£61,107","£65,351","£66,425","£66,873",,EUR
Jahresüberschuss,£25,"£25,700","£27,485","£27,937","£28,125",20.80%,JPY
流動負債,"£187,360,467","£194,005","£207,479","£210,888","£212,312",89.06%,84367
Merchandise Inventory,"£81,588,337","£84,482","£90,349","£91,834","£92,453,779",57.50%,90116
Cash Balance,"£60,424,687","£62,567","£66,913","£68,012,430",£68,53854,79508
Assets Total,"£823,765","£852,977,872","£912,221,732","£927,208","£933,469",73.77%,GBP
total_debt,"£436,967","£452,463","£483,889","£491,839","£495,160",59782,19712
Book Value,"£386,797,825","£400,515","£428,333","£435,369",£438,57.49%,
trade_receivables,£150,"£155,638","£166,448","£169,182","£170,325",,78245
Payables,"£20,113","£20,826","£22,273","£22,638,864","£22,792",EY,40331
interest_expense,"£4,289","£4,440,766",£5,"£4,827","£4,860",,
