Description,FY21,FY22,FY23,Tax Rate,fiscal_year_end
Net Revenue,"83,046","80,054","77,145",INR,GBP
Cost of Products,"57,791","55,709","53,685",,
Op Profit,"19,878","19,162","18,465",,
net_profit,"13,496","13,010","12,537",,27.03%
Passifs courants,,"22,631","21,809",14.95%,40.85%
merchandise_inventory,N/A,"6,016","5,797",KPMG,97.53%
cash_and_cash_equivalents,"5,958","5,743","5,534",75564,
sum_of_assets,"73,445","70,799","68,226",75.04%,Deloitte
Net Receivables,"14,538","14,014","13,505",,10.25%
payables,"5,446","5,250","5,059",65058,USD
IE,"5,314","5,123","4,937",,
