Item,Period 1,Period 2,Period 3,Period 4
Income from Operations,"$311,986","$362,062","$419,386","$486,290"
COGS ($),"$157,236","$182,473","$211,363","$245,082"
EBIT ($),"$75,278","$87,360","$101,192","$117,335"
ni,"$43,498","$50,480","$58,472","$67,800"
Umlaufvermögen,"$80,362","$93,260","$108,026","$125,259"
current_obligations,"$60,048","$69,686","$80,719","$93,596"
stock,"$25,664","$29,784","$34,499","$40,003"
現金,"$13,501","$15,668","$18,149","$21,045"
総資産,"$193,441","$224,491","$260,033","$301,516"
liabilities_total,"$100,237","$116,326","$134,744","$156,239"
total_equity,"$93,204","$108,164","$125,289","$145,277"
Trade Receivables,"$17,725","$20,570","$23,826","$27,627"
Trade Payables,"$4,648","$5,394","$6,248","$7,245"
ie,"$6,048","$7,018","$8,130","$9,426"
