Metric,2021,2022,2023
net_revenue,199777466,226439245,263204071
COGS ($),149573663,169535374,197061249
Operating Result,49319510,55901563,64977778
PAT,7714640,8744216,10163933
Current Assets,63969689,72506917,84279188
CurrLiab,40248239,45619664,53026503
C&CE,11941945,13535685,15733348
Assets Total,142561102,161586934,187822296
総負債,77071270,87357000,101540341
se,65489832,74229934,86281955
Accts Receivable,18931607,21458170,24942133
trade_payables,5916600,6706214,7795040
Interest Expense,8666321,9822906,11417759
