Metric,FY18,FY19,FY20
Direct Costs,"£147,964,024","£142,280,199","£139,443,658"
Operating Income,"£40,839,097","£39,270,322","£38,487,417"
Profit for Period,"£21,575,173","£20,746,393","£20,332,787"
short_term_assets,"£81,830,917","£78,687,500","£77,118,762"
Short-Term Liabilities,"£40,405,832","£38,853,700","£38,079,101"
Inventories,"£29,841,150","£28,694,845","£28,122,776"
liquidity,"£22,127,199","£21,277,214","£20,853,025"
総資産,"£160,340,021","£154,180,789","£151,106,994"
Total Liabilities ($),"£74,813,806","£71,939,941","£70,505,724"
stockholders_equity,"£85,526,215","£82,240,848","£80,601,270"
Créances clients,"£21,687,679","£20,854,578","£20,438,815"
Payables,"£7,500,191","£7,212,082","£7,068,300"
ie,"£2,884,455","£2,773,653","£2,718,357"
