Description,2020,2021,2022,2023,2024,market_cap,auditor
Net Sales,469077624.49,551292125.76,637811708.92,737552514.25,849385146.92,,
COGS,158229609.48,185962265.55,215147115.01,248791756.86,286515222.81,46796,
income_from_operations,52194220.12,61342219.41,70969244.73,82067394.11,94510999.91,GBP,
Passifs courants,143527645.37,168683511.19,195156639.30,225675176.51,259893552.33,34147,
Inventories,74439889.62,87486852.60,101217007.02,117045292.47,134792480.57,Deloitte,PwC
Cash & Cash Equivalents,55181099.23,64852604.15,75030547.96,86763802.73,99919509.33,Deloitte,USD
sum_of_assets,534033943.13,627633236.73,726133765.72,839686348.02,967005193.94,20088,48267
total_debt,252312868.55,296535350.22,343073498.85,396723230.56,456877053.45,91.24%,31.30%
Eigenkapital,281721074.58,331097886.51,383060266.86,442963117.46,510128140.48,42.69%,Deloitte
Accts Receivable,63428055.50,74544991.54,86244055.06,99730874.73,114852735.30,80.00%,
Accounts Payable,29065461.17,34159719.07,39520732.80,45700973.24,52630459.68,,89.84%
finance_costs,10074769.51,11840558.60,13698811.50,15841027.57,18242949.85,INR,71.48%
