Item,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Auditor,country
Net Revenue,167,175,181,—,195,,GBP
Cost of Products,61,64,66,68,71,,Deloitte
operating_profit,23,24,,25,26,KPMG,25530
Profit for Period,11,12,12,13,13,,
current assets,157,164,171,175,N/A,INR,
Total Current Liabilities,120,125,130,133,140,13.47%,70999
inventories,60,63,65,67,70,PwC,64.30%
Cash,49,51,53,55,57,KPMG,JPY
Total Balance Sheet Assets,405,424,440,452,473,2944,74161
total_debt,207,217,225,232,242,,90.56%
Equity,198,207,214,220,N/A,USD,85555
Forderungen,48,50,52,54,56,,80.69%
payables,16,16,17,18,18,,JPY
Borrowing Costs,3,3,3,3,3,,
