line_item,Q1 FY18,Q2 FY18,Q3 FY18,Q4 FY18,segment,Country
Ingresos,£107,£124,£145,£169,,5.06%
Cost of Revenue,£68,£79,£93,£108,GBP,87.79%
Résultat opérationnel,£12,£13,£16,£18,2.57%,62615
earnings,£13,£15,£18,£21,JPY,PwC
total_current_assets,£85,£99,£116,£135,PwC,Deloitte
stock,£26,£31,£36,—,,Deloitte
cash_and_cash_equivalents,£18,£21,£24,£28,,EY
sum_of_assets,£231,£267,£314,N/A,,PwC
tl,£119,#N/A,£162,£188,54.70%,INR
Equity,£112,£129,£152,£176,,KPMG
Receivables,£20,£24,£28,£32,,52503
trade_payables,£8,£9,£11,£12,,
Finance Costs,£1,£1,£1,£1,,88.84%
