line_item,2018-03-31,2018-06-30,2018-09-30,Product Line
Revs,"54,758","58,984","63,257",
COS,"28,103","30,271","32,464",
EBIT ($),"9,001","9,695","10,398",USD
Net Profit,"9,677","10,424","11,179",EUR
current_assets,"43,791","47,171","50,588",JPY
current_liabilities,"9,489","10,221","10,961",
Merchandise Inventory,"16,701","17,990","19,293",16965
Cash Balance,"11,900","12,818","13,746",90779
Gesamtvermögen,"89,167","96,048","103,005",
Total Debt,"21,105","22,734","24,381",
Equity,"68,061","73,314","78,625",EY
Accounts Receivable,"14,002","15,083","16,175",25342
Creditors,"2,146","2,312","2,480",JPY
Finance Costs,631,679,729,USD
