account,Mar 2021,Jun 2021,Sep 2021,EPS,region,Product Line
Income from Operations,40295,42210,43853,39.06%,JPY,
Cost of Products,12906,13520,14046,24444,,EY
income_from_operations,7502,7859,8165,68.64%,JPY,JPY
net_earnings,1619,1696,1762,JPY,44.05%,29438
Total Current Assets,26849,28125,,KPMG,GBP,38548
Current Liabilities,7774,8143,8460,INR,33.17%,EY
Lagerbestand,10744,11255,N/A,3.89%,67.00%,49.29%
Kassenbestand,4169,,4537,KPMG,21.32%,EUR
Total Balance Sheet Assets,55766,58417,60691,USD,95510,INR
Total SE,40383,42302,43949,56.78%,83.59%,EUR
accounts_receivable,7293,7640,7937,,,JPY
Trade Payables,1611,1688,#N/A,JPY,85.94%,76.96%
Charges d'intérêts,760,797,828,33819,20671,
