Line Item,Q1 FY20,Q2 FY20
売上原価,"306,071,779","359,000,055"
EBIT,"25,177,845","29,531,791"
Résultat net,"63,809,141","74,843,506"
CurrAssets,"299,226,558","350,971,107"
Kurzfristige Verbindlichkeiten,"138,678,306","162,659,621"
raw_materials_and_wip,"116,271,178","136,377,680"
cash_equivalents,"39,759,291","46,634,772"
assets_total,"721,299,198","846,031,780"
Total Debt,"267,555,686","313,823,464"
Capitaux propres,"453,743,512","532,208,315"
AR,"143,196,089","167,958,653"
Verbindlichkeiten,"29,445,631","34,537,595"
IE,"2,686,309","3,150,846"
