Description,Period 1,Period 2,Period 3,CapEx
sales,"227,283.3K","267,308.7K","318,198.5K",
売上原価,"163,081.4K","191,800.6K","228,315.4K",GBP
operating_profit,"18,169.9K","21,369.7K","25,438.1K",14.79%
Net Earnings,"17,197.2K","20,225.7K","24,076.3K",EY
Total Current Assets,"55,130.2K","64,838.8K","77,182.8K",GBP
Current Liabilities,"32,813.2K","38,591.7K","45,938.8K",INR
Stocks,"13,883.1K","16,328.0K","19,436.5K",2.37%
Trésorerie,"18,516.0K","21,776.8K","25,922.6K",
Total Balance Sheet Assets,,"173,582.3K","206,628.7K",31977
Total Passifs,"66,749.9K","78,504.8K","93,450.4K",56871
Book Value,"80,841.1K",,"113,178.2K",INR
Net Receivables,"22,731.0K","26,734.1K","31,823.7K",40.84%
ap,"3,798.3K","4,467.2K","5,317.6K",USD
Zinsaufwendungen,"1,374.7K","1,616.8K",,
