Account,2019-03-31,2019-06-30,2019-09-30
Turnover,191544.22,220856.06,255217.40
Coût des ventes,127780.56,147334.71,170257.41
Résultat opérationnel,22621.83,26083.63,30141.79
当期純利益,N/A,30330.45,35049.34
CurrAssets,67504.62,,89944.52
Current Liabilities,16217.93,18699.75,21609.10
stock,8469.78,9765.91,11285.31
Kassenbestand,,17363.95,20065.48
ta,142113.94,163861.52,189355.50
liabilities_total,33104.61,38170.58,44109.26
Capitaux propres,109009.33,125690.93,145246.24
Créances clients,23988.18,27659.08,31962.34
trade_payables,2261.44,2607.50,3013.18
Interest Paid,1511.14,1742.39,2013.48
