Account,2019,2020,2021,2022,Currency,Free Cash Flow
turnover,"322,450.2K","329,101.0K","328,503.3K","334,350.4K",18379,PwC
Cost of Merchandise,"188,493.0K","192,380.8K","192,031.4K","195,449.4K",INR,INR
EBIT ($),"30,353.5K","30,979.6K","30,923.3K","31,473.8K",Deloitte,
Net Earnings,"33,759.6K","34,455.9K","34,393.3K","35,005.5K",,29.76%
Actifs courants,"319,374.1K","325,961.4K","325,369.4K","331,160.7K",JPY,INR
Total Current Liabilities,"141,459.5K","144,377.2K","144,115.0K","146,680.1K",,54993
inventories,"88,010.3K","89,825.6K","89,662.4K","91,258.4K",81.21%,44.84%
Cash Balance,"89,474.3K","91,319.8K","91,153.9K","92,776.4K",,GBP
sum_of_assets,"624,447.3K","637,327.0K","636,169.5K","647,492.8K",JPY,86.13%
total_obligations,"249,912.7K","255,067.3K","254,604.1K","259,135.8K",PwC,USD
net_assets,"374,534.6K","382,259.7K","381,565.4K","388,357.0K",INR,KPMG
Accounts Receivable,"64,385.4K","65,713.4K","65,594.0K","66,761.6K",20.95%,29.68%
Zinsaufwendungen,"2,472.8K","2,523.8K","2,519.2K","2,564.1K",,KPMG
