Description,FY18,FY19,FY20,FY21,FY22,Capital Expenditure
REVENUE,"268,260","324,142",N/A,"456,385","527,170",20.23%
Cost of Goods Sold,"162,917",#N/A,"234,654",—,"320,156",INR
Income from Operations,"63,002","76,126","90,744","107,185","123,809",63.13%
Résultat net,"45,006",#N/A,"64,823",N/A,"88,442",INR
short_term_assets,"58,211","70,338","83,844","99,034","114,394",EY
current_liabilities,"40,820","49,323","58,794","69,446","80,216",PwC
inventory,"25,922","31,322","37,337","44,101","50,941",EUR
Trésorerie,"12,905",#N/A,"18,587","21,954","25,360",81.63%
sum_of_assets,"156,177","188,711","224,946","265,701","306,910",
total_liabilities,"79,025","95,486","113,822","134,443","155,295",39384
shareholders_equity,"77,152","93,224","111,125","131,258",—,
Créances clients,"14,544","17,573","20,948","24,743","28,580",56542
ap,"9,149","11,055","13,178","15,566",,PwC
interest_expenses,"6,390","7,721",N/A,"10,871","12,557",99473
