Account,Q1 FY23,Q2 FY23,Q3 FY23,amortization,Notes
Net Sales,222564,245174,252496,72.04%,JPY
COS,75314,82966,85443,GBP,INR
operating_income,32940,36287,37371,EY,JPY
Net Profit (Loss),11413,12573,12948,EY,79.22%
Kurzfristige Verbindlichkeiten,15220,16766,17267,INR,46955
Inventory,18357,20222,20825,54872,GBP
liquidity,18534,20417,21027,GBP,Deloitte
Assets Total,126388,139228,143386,33828,
Net Receivables,24096,26544,27337,51513,
Accounts Payable,2773,3054,3146,,44143
interest_expenses,9854,10855,11179,,PwC
