Account,2021-03-31,2021-06-30,Capital Expenditure
Revs,403614205,452271407,58.87%
cost_of_sales,130593703,146337263,52.09%
op_profit,97050510,108750312,57231
Profit After Tax,25143936,28175132,
CurrAssets,136927213,153434301,63492
Curr Liabilities,71272416,79864572,KPMG
Inventories,35019373,39241090,KPMG
Cash and Cash Equivalents,19972269,22380001,KPMG
Assets Total,270102079,302663895,
liabilities_total,121386654,136020269,23.40%
equity,148715426,166643626,
Debtors,39631109,44408787,Deloitte
Trade Payables,14151448,15857458,USD
支払利息,8911198,9985477,18044
