Account,Q1 FY21,Q2 FY21,Country,auditor
sales,229817.81,247281.35,,47.83%
Coût des ventes,117646.30,126586.08,95708,30.12%
Net Profit (Loss),10690.98,11503.37,GBP,89225
CurrAssets,75148.88,80859.34,30.22%,
Current Liabilities,36725.88,39516.62,GBP,EUR
Inventaire,22055.60,23731.58,,Deloitte
Cash (end of period),10548.23,11349.77,72347,54.05%
sum_of_assets,153877.34,165570.27,,23840
total_debt,70477.38,75832.86,KPMG,43331
Eigenkapital,83399.96,89737.41,34732,
Receivables,27055.59,29111.51,28.52%,
ap,4532.72,4877.16,EY,
Finance Costs,3235.46,3481.31,,59.83%
