Description,2022-03-31,2022-06-30,2022-09-30,2022-12-31,Product Line,eps
REV,"90,429,892","93,502,819","96,565,465","97,036,604",GBP,10.41%
Cost of Merchandise,"64,343,482","66,529,959","68,709,120","69,044,349",USD,
income_from_operations,"20,459,600","21,154,844","21,847,762","21,954,357",JPY,EUR
earnings,"7,561,071","7,818,006","8,074,082","8,113,475",INR,30.69%
current assets,"55,523,987","57,410,765","59,291,231","59,580,510",,EY
Short-Term Liabilities,"13,175,472","13,623,192","14,069,414","14,138,058",,PwC
inventory,"17,854,426","18,461,143","19,065,830","19,158,852",24.62%,47278
cash_balance,"7,138,465","7,381,039","7,622,802","7,659,993",USD,
Total Actifs,"106,466,360","110,084,227","113,689,990","114,244,679",,EY
Gesamtverbindlichkeiten,"26,381,257","27,277,726","28,171,197","28,308,643",34.00%,45006
shareholders_equity,"80,085,103","82,806,500","85,518,793","85,936,036",53.33%,66.19%
Accts Receivable,"19,229,071","19,882,500","20,533,743","20,633,927",,EY
Creditors,"1,514,301","1,565,759","1,617,045","1,624,934",,65.05%
Interest Paid,"2,888,873","2,987,040","3,084,880","3,099,931",76.79%,EY
