Line Item,FY2019,FY2020,FY2021,FY2022
Revenue,"£184,126","£219,691","£261,722","£306,183"
cost_of_goods_sold,"£118,972","£141,952","£169,110","£197,839"
operating_profit,"£27,747","£33,107","£39,441","£46,141"
Total Current Assets,"£61,862",,"£87,932","£102,870"
Total Current Liabilities,"£24,984","£29,809","£35,513","£41,545"
Inventory,"£8,477","£10,114","£12,049","£14,096"
Kassenbestand,"£18,664","£22,269","£26,530","£31,036"
TA,"£135,844","£162,084",—,"£225,896"
total_obligations,"£59,928","£71,504","£85,184","£99,655"
Total SE,"£75,916","£90,579","£107,909","£126,240"
Créances clients,"£17,523","£20,907","£24,907","£29,138"
Creditors,"£4,548","£5,426","£6,465","£7,563"
ie,"£4,118","£4,913","£5,853","£6,848"
