Account,FY20,FY21,FY22,country,gross_profit
top_line,485915957,537197270,577015665,15.69%,JPY
COGS ($),146967619,162477899,174521164,,
Operating Earnings,57365864,63419991,68120838,PwC,Deloitte
NI,71391862,78926227,84776435,,PwC
CL,161888278,178973215,192239154,59.42%,Deloitte
ta,590368323,652673054,701050799,Deloitte,KPMG
Total Equity,301487713,333305326,358010744,24.36%,72700
Accounts Receivable,50289169,55596455,59717402,53.88%,23.72%
accounts_payable,18568565,20528206,22049807,GBP,KPMG
Borrowing Costs,4370943,4832232,5190409,74286,GBP
