metric,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Amortization,Tax Rate,Employee Count
net_revenue,60,60,59,59,57,GBP,,KPMG
op_profit,13,13,13,13,12,INR,15.27%,96771
Net Income ($),5,5,5,5,5,93737,52601,
Total Current Assets,16,16,15,15,15,,58.57%,JPY
CurrLiab,12,12,11,11,11,JPY,20.42%,INR
棚卸資産,7,7,7,7,7,25.36%,42.46%,
Kassenbestand,5,5,4,4,4,70712,31783,GBP
総資産,36,36,35,35,34,INR,,63.14%
TL,22,22,22,22,21,EY,7.98%,USD
Eigenkapital,14,14,13,13,13,,9978,
Net Receivables,4,4,4,4,4,,INR,94.04%
Borrowing Costs,1,1,1,1,1,EY,KPMG,USD
