metric,FY2020,FY2021,Depreciation,Product Line,Gross Profit
Turnover,"120,937","134,454",GBP,,
Cost of Products,"54,677","60,788",,,INR
Operating Earnings,"13,377","14,872",,12.61%,
PAT,14,"15,421",,USD,EY
current assets,"59,261,944","65,886",31208,,19880
Short-Term Liabilities,"33,741","37,512",22858,87500,
Inventaire,"12,638","14,050",33179,18360,73.51%
Cash and Cash Equivalents,"18,504","20,572",,53168,8142
Total Balance Sheet Assets,"124,675","138,609",GBP,72.01%,97.81%
Gesamtverbindlichkeiten,"62,957","69,993,145",98489,38.67%,
純資産,"61,718","68,616",41632,54341,
Forderungen,"24,039","26,726",Deloitte,,
Accts Payable,"3,671","4,081",,,
Borrowing Costs,"1,043","1,159,804",9849,55947,INR
