Description,Q1 FY18,Q2 FY18,Q3 FY18,currency,Product Line
Net Sales,"336,804.6K",350.0,"370,386.3K",EY,
Cost of Goods Sold,"153,489.0K","159,497.2K","168,792.9K",80758,
Operating Earnings,74.8,"77,704.1K","82,232.8",EUR,
Short-Term Assets,"209,792.5K","218,004.6K","230,710.2K",41694,
CL,"104,362.7K","108,447.9K",114.8,,98.56%
Total Assets,"466,426.8K",484.7,"512,932.7K",KPMG,94892
Total Debt,"189,057.2K","196,457.6",207.9,16.18%,
Stockholders' Equity,"277,369.6K","288,227.0K","305,025.2K",,EUR
Debtors,"85,845.0K","89,205.3K","94,404.3K",1.48%,INR
支払利息,"10,445.8K","10,854.7K","11,487.3K",26.70%,USD
